date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:14	81029/81029	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202022%2001:28:13%20GMT	https://upeu.edu.pe/librodereclamaciones/	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/librodereclamaciones/index.html	(from https://upeu.edu.pe/)
20:28:15	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Nov%202022%2001:28:14%20GMT	https://upeu.edu.pe/wp-content/plugins/wp-video-lightbox	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/wp-video-lightbox	(from https://upeu.edu.pe/)
20:28:15	0/0	---M--	200	added ('OK')	text/html	etag:%220-5e3374d14fe10%22	https://upeu.edu.pe/wp-content/plugins/wp-video-lightbox/	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/wp-video-lightbox/index.html	(from https://upeu.edu.pe/)
20:28:15	6682/6682	---M--	200	added ('OK')	image/png	etag:%2262c6e383-1a1a%22	https://upeu.edu.pe/wp-content/plugins/wp-video-lightbox/images/prettyPhoto/default/sprite.png	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/wp-video-lightbox/images/prettyPhoto/default/sprite.png	(from https://upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-1261aff55c09c38bc801b98f3e912be3.css)
20:28:16	1689505/1689505	---MCZ	200	added ('OK')	application/javascript	etag:W/%226362cf3e-19c7a1%22	https://upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-08b1f4062c66382b77ebeae552f8eb01.js	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-08b1f4062c66382b77ebeae552f8eb01.js	(from https://upeu.edu.pe/)
20:28:16	53755/53755	---M--	200	added ('OK')	image/png	etag:%226292d308-d1fb%22	https://upeu.edu.pe/wp-content/plugins/easy-lightbox-wp/imgs/litebox-close.png	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/easy-lightbox-wp/imgs/litebox-close.png	(from https://upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-1261aff55c09c38bc801b98f3e912be3.css)
20:28:16	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211b01-5e787aef219a8%22	https://upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfont.eot?v=4.1.0	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfont862f.eot	(from https://upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-1261aff55c09c38bc801b98f3e912be3.css)
20:28:16	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211b01-5e787aef219a8%22	https://upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-1261aff55c09c38bc801b98f3e912be3.css)
20:28:16	83760/83760	---M--	200	added ('OK')	font/woff	etag:%22630f43f9-14730%22	https://upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfont.woff?v=4.1.0	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfont862f.woff	(from https://upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-1261aff55c09c38bc801b98f3e912be3.css)
20:28:17	141564/141564	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22630f43f9-228fc%22	https://upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/My%20Web%20Sites/proyecto7/upeu.edu.pe/wp-content/plugins/tabs-responsive/assets/css/font-awesome/fonts/fontawesome-webfont862f.ttf	(from https://upeu.edu.pe/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-1261aff55c09c38bc801b98f3e912be3.css)
